id_mov,data,ano_mes,tipo,valor,valor_captacao,valor_resgate,cliente_id,nome,segmento,status,data_entrada,produto,classe,taxa_admin_aa,meta_captacao_mes,canal
M0035,2025-06-19,2025-06,captacao,65271.72,65271.72,0.0,C006,Lucas Souza,Alta Renda,inativo,2023-10-02,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0036,2025-03-24,2025-03,resgate,77644.0,0.0,77644.0,C035,Nicolas Santos,Private,ativo,2024-03-11,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0037,2025-01-14,2025-01,captacao,41956.71,41956.71,0.0,C004,Bruno Costa,Alta Renda,ativo,2023-08-27,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0038,2025-05-21,2025-05,resgate,74286.0,0.0,74286.0,C008,Joao Costa,Private,ativo,2023-06-06,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0039,2025-07-01,2025-07,resgate,25549.26,0.0,25549.26,C006,Lucas Souza,Alta Renda,inativo,2023-10-02,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0040,2025-04-29,2025-04,captacao,52169.07,52169.07,0.0,C033,Diego Costa,Varejo,inativo,2023-03-28,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0041,2025-05-04,2025-05,resgate,20254.74,0.0,20254.74,C013,Iris Rodrigues,Private,ativo,2023-01-22,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0042,2025-07-11,2025-07,captacao,69258.13,69258.13,0.0,C033,Diego Costa,Varejo,inativo,2023-03-28,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0043,2025-03-14,2025-03,resgate,67160.6,0.0,67160.6,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0044,2025-05-04,2025-05,captacao,27262.76,27262.76,0.0,C021,Elena Costa,Varejo,ativo,2024-06-02,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0045,2025-03-03,2025-03,captacao,19451.0,19451.0,0.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0046,2025-06-19,2025-06,resgate,40130.96,0.0,40130.96,C038,Elena Souza,Varejo,inativo,2023-08-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0047,2025-04-23,2025-04,captacao,42550.0,42550.0,0.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0048,2025-05-01,2025-05,resgate,27746.0,0.0,27746.0,C022,Carla Pereira,Varejo,inativo,2024-06-25,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0049,2025-03-23,2025-03,resgate,69918.26,0.0,69918.26,C016,Gabriela Costa,Varejo,inativo,2024-04-04,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0050,2025-07-11,2025-07,resgate,35283.75,0.0,35283.75,C029,Felipe Lima,Private,ativo,2023-07-02,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0051,2025-03-18,2025-03,captacao,4633.29,4633.29,0.0,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0052,2025-03-04,2025-03,resgate,45708.32,0.0,45708.32,C006,Lucas Souza,Alta Renda,inativo,2023-10-02,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0053,2025-06-08,2025-06,resgate,40315.71,0.0,40315.71,C030,Elena Silva,Varejo,ativo,2023-09-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0054,2025-03-07,2025-03,captacao,72013.0,72013.0,0.0,C011,Diego Oliveira,Alta Renda,ativo,2023-03-01,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0055,2025-03-30,2025-03,resgate,51476.0,0.0,51476.0,C030,Elena Silva,Varejo,ativo,2023-09-18,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
M0056,2025-04-09,2025-04,resgate,9425.0,0.0,9425.0,C037,Nicolas Nascimento,Alta Renda,inativo,2023-03-21,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0057,2025-03-17,2025-03,captacao,78257.0,78257.0,0.0,C037,Nicolas Nascimento,Alta Renda,inativo,2023-03-21,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0058,2025-03-15,2025-03,resgate,48958.13,0.0,48958.13,C040,Felipe Lima,Private,inativo,2023-01-30,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0059,2025-07-13,2025-07,captacao,50631.6,50631.6,0.0,C003,Elena Oliveira,Private,inativo,2024-04-15,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0060,2025-07-07,2025-07,captacao,8120.54,8120.54,0.0,C012,Olivia Rodrigues,Private,inativo,2023-06-19,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0061,2025-05-19,2025-05,resgate,42937.34,0.0,42937.34,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0062,2025-03-28,2025-03,resgate,37998.18,0.0,37998.18,C026,Carla Silva,Varejo,inativo,2023-06-08,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0063,2025-01-24,2025-01,captacao,2099.57,2099.57,0.0,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0064,2025-04-08,2025-04,captacao,9559.34,9559.34,0.0,C040,Felipe Lima,Private,inativo,2023-01-30,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0065,2025-06-06,2025-06,resgate,52164.0,0.0,52164.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0066,2025-01-12,2025-01,captacao,25044.0,25044.0,0.0,C016,Gabriela Costa,Varejo,inativo,2024-04-04,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0067,2025-04-10,2025-04,captacao,30309.91,30309.91,0.0,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0068,2025-01-26,2025-01,captacao,49636.52,49636.52,0.0,C014,Iris Souza,Private,inativo,2023-09-01,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0069,2025-03-02,2025-03,resgate,8849.02,0.0,8849.02,C004,Bruno Costa,Alta Renda,ativo,2023-08-27,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0070,2025-02-18,2025-02,captacao,75971.0,75971.0,0.0,C039,Gabriela Costa,Varejo,inativo,2024-05-03,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0071,2025-03-27,2025-03,resgate,79116.85,0.0,79116.85,C036,Carla Nascimento,Private,inativo,2024-05-31,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0072,2025-02-25,2025-02,resgate,26956.2,0.0,26956.2,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0073,2025-05-19,2025-05,resgate,64082.59,0.0,64082.59,C009,Carla Costa,Varejo,ativo,2023-12-15,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0074,2025-03-02,2025-03,captacao,2246.71,2246.71,0.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0075,2025-07-10,2025-07,resgate,38623.43,0.0,38623.43,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0076,2025-02-26,2025-02,captacao,58452.2,58452.2,0.0,C002,Iris Rodrigues,Private,ativo,2024-03-08,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0077,2025-04-13,2025-04,resgate,55201.0,0.0,55201.0,C005,Gabriela Lima,Varejo,inativo,2023-06-25,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0078,2025-06-05,2025-06,resgate,6188.9,0.0,6188.9,C036,Carla Nascimento,Private,inativo,2024-05-31,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0079,2025-06-02,2025-06,captacao,36843.52,36843.52,0.0,C008,Joao Costa,Private,ativo,2023-06-06,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0080,2025-02-25,2025-02,captacao,36672.84,36672.84,0.0,C030,Elena Silva,Varejo,ativo,2023-09-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0081,2025-07-06,2025-07,resgate,25691.32,0.0,25691.32,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0082,2025-05-02,2025-05,captacao,8206.76,8206.76,0.0,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0083,2025-05-23,2025-05,resgate,47330.74,0.0,47330.74,C008,Joao Costa,Private,ativo,2023-06-06,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0084,2025-06-20,2025-06,captacao,69579.28,69579.28,0.0,C020,Bruno Rodrigues,Alta Renda,ativo,2023-11-18,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0085,2025-05-28,2025-05,resgate,13223.0,0.0,13223.0,C023,Karen Nascimento,Varejo,ativo,2023-12-18,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0086,2025-01-30,2025-01,resgate,46353.0,0.0,46353.0,C040,Felipe Lima,Private,inativo,2023-01-30,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0087,2025-06-05,2025-06,resgate,3287.3,0.0,3287.3,C022,Carla Pereira,Varejo,inativo,2024-06-25,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0088,2025-02-16,2025-02,captacao,45739.0,45739.0,0.0,C002,Iris Rodrigues,Private,ativo,2024-03-08,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0089,2025-04-07,2025-04,captacao,36838.02,36838.02,0.0,C021,Elena Costa,Varejo,ativo,2024-06-02,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
M0090,2025-01-22,2025-01,captacao,13290.81,13290.81,0.0,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0091,2025-04-19,2025-04,captacao,48959.0,48959.0,0.0,C033,Diego Costa,Varejo,inativo,2023-03-28,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0092,2025-04-21,2025-04,captacao,23376.47,23376.47,0.0,C020,Bruno Rodrigues,Alta Renda,ativo,2023-11-18,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0093,2025-04-12,2025-04,resgate,1607.28,0.0,1607.28,C017,Gabriela Oliveira,Private,ativo,2023-06-20,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0094,2025-01-31,2025-01,resgate,40293.0,0.0,40293.0,C025,Lucas Almeida,Varejo,inativo,2023-06-01,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0095,2025-02-28,2025-02,captacao,6693.96,6693.96,0.0,C030,Elena Silva,Varejo,ativo,2023-09-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0096,2025-05-28,2025-05,captacao,46298.0,46298.0,0.0,C026,Carla Silva,Varejo,inativo,2023-06-08,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0097,2025-02-13,2025-02,captacao,66730.05,66730.05,0.0,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0098,2025-05-31,2025-05,captacao,42393.0,42393.0,0.0,C015,Karen Almeida,Private,ativo,2024-03-17,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0099,2025-01-20,2025-01,captacao,42917.78,42917.78,0.0,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0100,2025-02-07,2025-02,resgate,16584.47,0.0,16584.47,C012,Olivia Rodrigues,Private,inativo,2023-06-19,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0101,2025-07-13,2025-07,resgate,54809.54,0.0,54809.54,C021,Elena Costa,Varejo,ativo,2024-06-02,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0102,2025-04-23,2025-04,captacao,38044.77,38044.77,0.0,C004,Bruno Costa,Alta Renda,ativo,2023-08-27,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0103,2025-01-19,2025-01,captacao,37477.66,37477.66,0.0,C019,Diego Lima,Private,inativo,2023-03-24,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0104,2025-06-07,2025-06,resgate,37554.22,0.0,37554.22,C029,Felipe Lima,Private,ativo,2023-07-02,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0105,2025-02-18,2025-02,resgate,48795.46,0.0,48795.46,C029,Felipe Lima,Private,ativo,2023-07-02,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0106,2025-07-02,2025-07,captacao,40859.37,40859.37,0.0,C029,Felipe Lima,Private,ativo,2023-07-02,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0107,2025-05-14,2025-05,captacao,29747.94,29747.94,0.0,C022,Carla Pereira,Varejo,inativo,2024-06-25,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0108,2025-06-11,2025-06,resgate,6207.04,0.0,6207.04,C019,Diego Lima,Private,inativo,2023-03-24,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0109,2025-06-18,2025-06,resgate,27335.6,0.0,27335.6,C023,Karen Nascimento,Varejo,ativo,2023-12-18,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0110,2025-06-28,2025-06,captacao,11187.18,11187.18,0.0,C025,Lucas Almeida,Varejo,inativo,2023-06-01,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0111,2025-06-21,2025-06,resgate,52035.0,0.0,52035.0,C002,Iris Rodrigues,Private,ativo,2024-03-08,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0112,2025-02-16,2025-02,resgate,27996.0,0.0,27996.0,C009,Carla Costa,Varejo,ativo,2023-12-15,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0113,2025-03-17,2025-03,resgate,41107.49,0.0,41107.49,C003,Elena Oliveira,Private,inativo,2024-04-15,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0114,2025-02-03,2025-02,resgate,13185.97,0.0,13185.97,C011,Diego Oliveira,Alta Renda,ativo,2023-03-01,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0115,2025-04-16,2025-04,captacao,54432.67,54432.67,0.0,C019,Diego Lima,Private,inativo,2023-03-24,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0116,2025-05-17,2025-05,resgate,25447.0,0.0,25447.0,C037,Nicolas Nascimento,Alta Renda,inativo,2023-03-21,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0117,2025-07-16,2025-07,resgate,62471.8,0.0,62471.8,C011,Diego Oliveira,Alta Renda,ativo,2023-03-01,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0118,2025-02-05,2025-02,captacao,5122.0,5122.0,0.0,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0119,2025-03-14,2025-03,captacao,61286.23,61286.23,0.0,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0120,2025-02-26,2025-02,captacao,70885.75,70885.75,0.0,C026,Carla Silva,Varejo,inativo,2023-06-08,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0121,2025-03-02,2025-03,resgate,79567.5,0.0,79567.5,C021,Elena Costa,Varejo,ativo,2024-06-02,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0122,2025-02-07,2025-02,resgate,4025.0,0.0,4025.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0123,2025-01-02,2025-01,resgate,2501.31,0.0,2501.31,C039,Gabriela Costa,Varejo,inativo,2024-05-03,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0124,2025-01-29,2025-01,captacao,19773.58,19773.58,0.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0125,2025-01-17,2025-01,resgate,67098.0,0.0,67098.0,C002,Iris Rodrigues,Private,ativo,2024-03-08,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0126,2025-03-03,2025-03,resgate,24010.49,0.0,24010.49,C016,Gabriela Costa,Varejo,inativo,2024-04-04,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0127,2025-02-17,2025-02,captacao,42355.28,42355.28,0.0,C035,Nicolas Santos,Private,ativo,2024-03-11,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0128,2025-05-22,2025-05,captacao,31845.0,31845.0,0.0,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0129,2025-01-05,2025-01,resgate,63293.08,0.0,63293.08,C038,Elena Souza,Varejo,inativo,2023-08-08,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0130,2025-01-12,2025-01,resgate,44135.09,0.0,44135.09,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0131,2025-01-17,2025-01,captacao,3921.72,3921.72,0.0,C003,Elena Oliveira,Private,inativo,2024-04-15,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0132,2025-05-12,2025-05,captacao,79140.69,79140.69,0.0,C003,Elena Oliveira,Private,inativo,2024-04-15,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0133,2025-04-02,2025-04,captacao,69398.06,69398.06,0.0,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0134,2025-07-10,2025-07,captacao,71676.0,71676.0,0.0,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0135,2025-05-13,2025-05,captacao,64290.0,64290.0,0.0,C039,Gabriela Costa,Varejo,inativo,2024-05-03,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0136,2025-03-17,2025-03,resgate,9105.23,0.0,9105.23,C020,Bruno Rodrigues,Alta Renda,ativo,2023-11-18,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0137,2025-07-03,2025-07,captacao,14164.0,14164.0,0.0,C003,Elena Oliveira,Private,inativo,2024-04-15,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0138,2025-04-22,2025-04,captacao,51518.08,51518.08,0.0,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0139,2025-06-23,2025-06,resgate,76270.36,0.0,76270.36,C003,Elena Oliveira,Private,inativo,2024-04-15,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0140,2025-03-02,2025-03,captacao,29609.9,29609.9,0.0,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0141,2025-04-06,2025-04,resgate,61283.67,0.0,61283.67,C024,Karen Lima,Alta Renda,ativo,2023-09-26,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0142,2025-06-16,2025-06,captacao,20719.32,20719.32,0.0,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0143,2025-05-24,2025-05,resgate,21680.36,0.0,21680.36,C014,Iris Souza,Private,inativo,2023-09-01,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0144,2025-06-27,2025-06,captacao,16814.09,16814.09,0.0,C012,Olivia Rodrigues,Private,inativo,2023-06-19,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0145,2025-06-24,2025-06,resgate,53759.34,0.0,53759.34,C019,Diego Lima,Private,inativo,2023-03-24,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0146,2025-07-02,2025-07,resgate,63702.01,0.0,63702.01,C013,Iris Rodrigues,Private,ativo,2023-01-22,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0147,2025-05-07,2025-05,captacao,29510.83,29510.83,0.0,C036,Carla Nascimento,Private,inativo,2024-05-31,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0148,2025-01-23,2025-01,resgate,25433.0,0.0,25433.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0149,2025-02-02,2025-02,captacao,51744.0,51744.0,0.0,C023,Karen Nascimento,Varejo,ativo,2023-12-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0150,2025-06-13,2025-06,captacao,61654.75,61654.75,0.0,C004,Bruno Costa,Alta Renda,ativo,2023-08-27,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
